"Red",NA,NA,"02/16/24 - Melbourne"
"Red",NA,NA,"06/15/24 - Liverpool (mashup with ""The Manuscript"")"
"Red",NA,NA,"07/14/24 - Milan (mashup with ""Mr. Perfectly Fine"")"
"Red",NA,NA,"08/02/24 - Warsaw (mashup with ""Maroon"")"
"Treacherous",1,1,"04/13/23 - Tampa"
"Treacherous",NA,NA,"05/12/24 - Paris (mashup with ""The Alchemy"")"
"I Almost Do",1,1,"06/09/23 - Detroit"
"I Almost Do",NA,NA,"07/13/24 - Milan (mashup with ""The Moment I Knew"")"
"Stay Stay Stay",1,1,"07/29/23 - Santa Clara"
"Stay Stay Stay",NA,NA,"07/19/24 - Gelsenkirchen (mashup with ""Paper Rings"")"
"The Last Time",1,1,"06/16/23 - Pittsburgh"
"The Last Time",NA,NA,"07/23/24 - Hamburg (mashup with ""Teardrops On My Guitar"")"
"Holy Ground",1,3,"05/27/23 - East Rutherford"
"Holy Ground",NA,NA,"02/07/24 - Tokyo"
"Holy Ground",NA,NA,"07/06/24 - Amsterdam (mashup with ""Sweeter Than Fiction"")"
"Holy Ground",NA,NA,"11/01/24 - Indianapolis (mashup with ""The Albatross"")"
"Sad Beautiful Tragic",1,2,"03/31/23 - Arlington"
"Sad Beautiful Tragic",NA,NA,"07/09/24 - Zurich (mashup with ""Last Kiss"")"
"Sad Beautiful Tragic",NA,NA,"08/16/24 - London (mashup with ""Dear John"")"
"The Lucky One",1,1,"04/02/23 - Arlington"
"The Lucky One",NA,NA,"06/30/24 - Dublin (mashup with ""Clara Bow"")"
"Everything Has Changed",1,3,"07/22/23 - Seattle"
"Everything Has Changed",NA,NA,"06/03/24 - Lyon (mashup with ""Glitch"")"
"Everything Has Changed",NA,NA,"07/06/24 - Amsterdam (mashup with ""So High School"" and ""Mary's Song (Oh My My My)"")"
"Everything Has Changed",NA,NA,"08/15/24 - London (mashup with ""End Game"" and ""Thinking Out Loud"")"
"Starlight",1,1,"07/15/23 - Denver"
"Starlight",NA,NA,"03/02/24 - Singapore (mashup with ""Mine"")"
"Begin Again",1,1,"04/23/23 - Houston"
"Begin Again",NA,NA,"05/12/24 - Paris (mashup with ""Paris"")"
"The Moment I Knew",1,1,"06/04/23 - Chicago"
"The Moment I Knew",NA,NA,"07/13/24 - Milan (mashup with ""I Almost Do"")"
"Come Back...Be Here",1,3,"05/12/23 - Philadelphia"
"Come Back...Be Here",NA,NA,"02/18/24 - Melbourne (mashup with ""Daylight"")"
"Come Back...Be Here",NA,NA,"05/24/24 - Lisbon (mashup with ""The Way I Loved You"" adnd ""The Other Side Of The Door"")"
"Come Back...Be Here",NA,NA,"06/21/2024 - London (mashup with ""The Black Dog"" and ""Maroon"")"
"Girl At Home",0,0,NA
"Ronan",0,0,NA
"Better Man",1,1,"05/19/23 - Foxborough"
"Better Man",NA,NA,"07/19/24 - Gelsenkirchen (mashup with ""it's time to go"")"
"Nothing New",0,1,"07/24/24 - Hamburg (mashup with ""Dear Reader"")"
"Babe",0,1,"03/07/24 - Singapore (mashup with ""Death By A Thousand Cuts"")"
"Message In A Bottle",1,2,"07/23/23 - Seattle"
"Message In A Bottle",NA,NA,"05/19/24 - Stockholm (mashup with ""How You Get The Girl"" and ""New Romantics"" for Max Martin) 11/23/24 - Toronto (mashup with ""Sparks Fly"")"
"I Bet You Think About Me",1,0,"4/30/23 - Atlanta"
"Forever Winter",0,0,NA
"Run",0,1,"07/24/24 - Hamburg (mashup with ""the last great american dynasty"")"
"The Very First Night",1,0,"11/09/23 - Buenos Aires"
"Eyes Open",0,1,"02/08/24 - Tokyo"
"Safe & Sound",1,0,"11/25/23 - São Paulo"
"Welcome To New York",1,2,"05/28/23 - East Rutherford"
"Welcome To New York",NA,NA,"05/18/24 - Stockholm (mashup with ""Say Don't Go"" and ""Clean"")"
"Welcome To New York",NA,NA,"10/26/24 - New Orleans (mashup with ""Hits Different"")"
"Out Of The Woods",2,5,"05/06/23 - Nashville"
"Out Of The Woods",NA,NA,"11/11/23 - Buenos Aires (mashup with ""Is It Over Now?"")"
"Out Of The Woods",NA,NA,"05/10/24 - Paris (mashup with ""Is It Over Now?"")"
"Out Of The Woods",NA,NA,"06/23/24 - London (mashup with ""Is It Over Now?"" and ""Clean"")"
"Out Of The Woods",NA,NA,"07/14/24 - Milan (mashup with ""Getaway Car"")"
"Out Of The Woods",NA,NA,"10/20/24 - Miami (mashup with ""All You Had To Do Was Stay"")"
"Out Of The Woods",NA,NA,"11/16/24 - Toronto (mashup with ""us."")"
"All You Had To Do Was Stay",1,2,"06/10/23 - Detroit"
"All You Had To Do Was Stay",NA,NA,"07/09/24 - Zurich (mashup with ""right where you left me"")"
"All You Had To Do Was Stay",NA,NA,"10/20/24 - Miami (mashup with ""Out Of The Woods"")"
"I Wish You Would",1,1,"06/02/23 - Chicago"
"I Wish You Would",NA,NA,"02/25/24 - Sydney (mashup with ""Is It Over Now?"")"
"How You Get The Girl",1,3,"04/30/23 - Atlanta"
"How You Get The Girl",NA,NA,"02/23/24 - Sydney"
"How You Get The Girl",NA,NA,"05/19/24 - Stockholm (mashup with ""Message In A Bottle"" and ""New Romantics"" for Max Martin)"
"How You Get The Girl",NA,NA,"10/27/24 - New Orleans (mashup with ""Clean"")"
"This Love",1,3,"05/13/23 - Philadelphia"
"This Love",NA,NA,"03/04/24 - Singapore (mashup with ""Call It What You Want"")"
"This Love",NA,NA,"06/29/24 - Dublin (mashup with ""Ours"")"
"This Love",NA,NA,"11/02/24 - Indianapolis (mashup with ""The Prophecy"")"
"I Know Places",1,1,"08/08/23 - Los Angeles"
"I Know Places",NA,NA,"06/07/24 - Edinburgh (mashup with ""Would've, Could've, Should've"")"
"Clean",2,4,"04/01/23 - Arlington"
"Clean",NA,NA,"05/28/23 - East Rutherford"
"Clean",NA,NA,"03/03/24 - Singapore (mashup with ""evermore"")"
"Clean",NA,NA,"05/18/24 - Stockholm (mashup with ""Say Don't Go"" and ""Welcome To New York"")"
"Clean",NA,NA,"06/23/24 - London (mashup with ""Out Of The Woods"" and ""Is It Over Now?"")"
"Clean",NA,NA,"10/27/24 - New Orleans (mashup with ""How You Get The Girl"")"
"Wonderland",1,2,"04/21/23 - Houston"
"Wonderland",NA,NA,"07/13/24 - Milan (mashup with ""the 1"")"
"Wonderland",NA,NA,"12/07/24 - Vancouver (mashup with ""Haunted"")"
"You Are In Love",1,2,"08/04/23 - Los Angeles"
"You Are In Love",NA,NA,"07/05/24 - Amsterdam (mashup with ""cowboy like me"")"
"You Are In Love",NA,NA,"07/27/24 - Munich (mashup with ""Fresh Out The Slammer"")"
"New Romantics",1,2,"08/09/23 - Los Angeles"
"New Romantics",NA,NA,"05/19/24 - Stockholm (mashup with ""Message In A Bottle"" and ""How You Get The Girl"" for Max Martin)"
"New Romantics",NA,NA,"12/08/24 - Vancouver (mashup with ""A Place In This World"")"
"""Slut!""",1,2,"11/12/23 - Buenos Aires"
"""Slut!""",NA,NA,"03/08/24 - Singapore (mashup with ""False God"")"
"""Slut!""",NA,NA,"07/17/24 - Gelsenkirchen (mashup with ""False God"")"
"Say Don't Go",1,1,"11/26/23 - São Paulo"
"Say Don't Go",NA,NA,"05/18/24 - Stockholm (mashup with ""Welcome To New York"" and ""Clean"")"
"Now That We Don't Talk",1,1,"11/24/23 - São Paulo"
"Now That We Don't Talk",NA,NA,"05/25/24 - Lisbon (mashup with ""The Tortured Poets Department"")"
"Suburban Legends",1,1,"11/17/23 - Rio de Janeiro"
"Suburban Legends",NA,NA,"08/01/24 - Warsaw (mashup with ""New Year's Day"")"
"Is It Over Now?",1,4,"11/11/23 - Buenos Aires (mashup with ""Out Of The Woods"")"
"Is It Over Now?",NA,NA,"02/25/24 - Sydney (mashup with ""I Wish You Would"")"
"Is It Over Now?",NA,NA,"05/10/24 - Paris (mashup with ""Out Of The Woods"")"
"Is It Over Now?",NA,NA,"06/23/24 - London (mashup with ""Out Of The Woods and ""Clean"")"
"Is It Over Now?",NA,NA,"10/26/24 - New Orleans (mashup with ""Espresso"" and ""Please Please Please"")"
"Sweeter Than Fiction",0,1,"07/06/24 - Amsterdam (mashup with ""Holy Ground"")"
"End Game",1,1,"11/11/23 - Buenos Aires"
"End Game",NA,NA,"08/15/24 - London (mashup with ""Everything Has Changed"" and ""Thinking Out Loud"")"
"I Did Something Bad",0,3,"08/17/24 - London"
"I Did Something Bad",NA,NA,"10/19/24 - Miami (mashup with ""Should've Said No"")"
"I Did Something Bad",NA,NA,"11/22/24 - Toronto (mashup with ""Cassandra"" and ""mad woman"")"
"So It Goes...",1,0,"11/20/23 - Rio de Janeiro"
"Gorgeous",1,1,"4/29/23 - Atlanta"
"Gorgeous",NA,NA,"05/17/24 - Stockholm (mashup with ""I Think He Knows"")"
