"Title","Date","Location","Mashup"
"Clean",2024-10-27,"New Orleans","(mashup with ""How You Get The Girl"")"
"Wonderland",2023-04-21,"Houston",NA
"Wonderland",2024-07-13,"Milan","(mashup with ""the 1"")"
"Wonderland",2024-12-07,"Vancouver","(mashup with ""Haunted"")"
"You Are In Love",2023-08-04,"Los Angeles",NA
"You Are In Love",2024-07-05,"Amsterdam","(mashup with ""cowboy like me"")"
"You Are In Love",2024-07-27,"Munich","(mashup with ""Fresh Out The Slammer"")"
"New Romantics",2023-08-09,"Los Angeles",NA
"New Romantics",2024-05-19,"Stockholm","(mashup with ""Message In A Bottle"" and ""How You Get The Girl"" for Max Martin)"
"New Romantics",2024-12-08,"Vancouver","(mashup with ""A Place In This World"")"
"""Slut!""",2023-11-12,"Buenos Aires",NA
"""Slut!""",2024-03-08,"Singapore","(mashup with ""False God"")"
"""Slut!""",2024-07-17,"Gelsenkirchen","(mashup with ""False God"")"
"Say Don't Go",2023-11-26,"São Paulo",NA
"Say Don't Go",2024-05-18,"Stockholm","(mashup with ""Welcome To New York"" and ""Clean"")"
"Now That We Don't Talk",2023-11-24,"São Paulo",NA
"Now That We Don't Talk",2024-05-25,"Lisbon","(mashup with ""The Tortured Poets Department"")"
"Suburban Legends",2023-11-17,"Rio de Janeiro",NA
"Suburban Legends",2024-08-01,"Warsaw","(mashup with ""New Year's Day"")"
"Is It Over Now?",2023-11-11,"Buenos Aires","(mashup with ""Out Of The Woods"")"
"Is It Over Now?",2024-02-25,"Sydney","(mashup with ""I Wish You Would"")"
"Is It Over Now?",2024-05-10,"Paris","(mashup with ""Out Of The Woods"")"
"Is It Over Now?",2024-06-23,"London","(mashup with ""Out Of The Woods and ""Clean"")"
"Is It Over Now?",2024-10-26,"New Orleans","(mashup with ""Espresso"" and ""Please Please Please"")"
"Sweeter Than Fiction",2024-07-06,"Amsterdam","(mashup with ""Holy Ground"")"
"End Game",2023-11-11,"Buenos Aires",NA
"End Game",2024-08-15,"London","(mashup with ""Everything Has Changed"" and ""Thinking Out Loud"")"
"I Did Something Bad",2024-08-17,"London",NA
"I Did Something Bad",2024-10-19,"Miami","(mashup with ""Should've Said No"")"
"I Did Something Bad",2024-11-22,"Toronto","(mashup with ""Cassandra"" and ""mad woman"")"
"So It Goes...",2023-11-20,"Rio de Janeiro",NA
"Gorgeous",NA,"Atlanta",NA
"Gorgeous",2024-05-17,"Stockholm","(mashup with ""I Think He Knows"")"
"Getaway Car",2023-05-26,"East Rutherford",NA
"Getaway Car",2024-02-17,"Melbourne","(mashup with ""august"" and ""The Other Side Of The Door"")"
"Getaway Car",2024-06-08,"Edinburgh","(mashup with ""The Bolter"")"
"Getaway Car",2024-07-14,"Milan","(mashup with ""Out Of The Woods"")"
"Getaway Car",2024-08-20,"London","(mashup with ""Death By A Thousand Cuts"")"
"King Of My Heart",2023-08-08,"Los Angeles",NA
"King Of My Heart",2024-05-30,"Madrid",NA
"King Of My Heart",2024-08-15,"London","(mashup with ""The Alchemy"")"
"Dancing With Our Hands Tied",2023-11-19,"Rio de Janeiro",NA
"Dancing With Our Hands Tied",2024-06-29,"Dublin","(mashup with ""The Albatross"")"
"Dress",2023-08-07,"Los Angeles",NA
"Dress",2024-03-02,"Singapore","(mashup with ""I Don't Wanna Live Forever"")"
"Dress",2024-07-05,"Amsterdam","(mashup with ""imgonnagetyouback"")"
"Dress",2024-10-27,"New Orleans","(mashup with ""Afterglow"")"
"This Is Why We Can't Have Nice Things",2023-07-22,"Seattle",NA
"This Is Why We Can't Have Nice Things",2024-06-18,"Cardiff","(mashup with ""I Forgot That You Existed"")"
"This Is Why We Can't Have Nice Things",2024-11-14,"Toronto","(mashup with ""My Boy Only Breaks His Favorite Toys"")"
"Call It What You Want",2023-07-01,"Cincinnati",NA
"Call It What You Want",2024-03-04,"Singapore","(mashup with ""This Love"")"
"Call It What You Want",2024-07-27,"Munich","(mashup with ""ivy"")"
"Call It What You Want",2024-10-25,"New Orleans","(mashup with ""Our Song"")"
"New Year's Day",2023-08-09,"Los Angeles",NA
"New Year's Day",2024-02-24,"Sydney","(mashup with ""peace"")"
"New Year's Day",2024-08-01,"Warsaw","(mashup with ""Suburban Legends"")"
"New Year's Day",2024-12-08,"Vancouver","(mashup with ""Long Live"" and ""The Manuscript"")"
"I Forgot That You Existed",2023-08-24,"Mexico City",NA
"I Forgot That You Existed",2024-06-18,"Cardiff","(mashup with ""This Is Why We Can't Have Nice Things"")"
"The Archer",2024-07-04,"Amsterdam","(mashup with ""Question...?"")"
"The Archer",2024-08-19,"London","(mashup with ""You're On Your Own, Kid"")"
"I Think He Knows",2023-05-21,"Foxborough",NA
"I Think He Knows",2024-05-17,"Stockholm","(mashup with ""Gorgeous"")"
"I Think He Knows",2024-08-03,"Warsaw","(mashup with ""Today Was A Fairytale"")"
"Paper Rings",2023-06-23,"Minneapolis",NA
"Paper Rings",2024-07-19,"Gelsenkirchen","(mashup with ""Stay Stay Stay"")"
"Cornelia Street",NA,"Mexico City",NA
"Cornelia Street",2024-06-13,"Liverpool","(mashup with ""Maroon"")"
"Cornelia Street",2024-11-03,"Indianapolis","(mashup with ""The Bolter"")"
"Death By A Thousand Cuts",2023-04-01,"Arlington",NA
"Death By A Thousand Cuts",2023-08-05,"Los Angeles",NA
"Death By A Thousand Cuts",2024-03-07,"Singapore","(mashup with ""Babe"")"
"Death By A Thousand Cuts",2024-06-21,"London","(mashup with ""Hits Different"")"
"Death By A Thousand Cuts",2024-08-20,"London","(mashup with ""Getaway Car"")"
"Death By A Thousand Cuts",2024-11-03,"Indianapolis","(mashup with ""The Great War"")"
"London Boy",2024-08-16,"London",NA
"Soon You'll Get Better",NA,NA,NA
"False God",2023-05-27,"East Rutherford",NA
"False God",2024-03-08,"Singapore","(mashup with """"Slut!"""")"
"False God",2024-07-17,"Gelsenkirchen","(mashup with """"Slut!"""")"
"False God",2024-11-14,"Toronto ""mashup with ""'tis the damn season"")",NA
"Afterglow",2023-08-27,"Mexico City",NA
"Afterglow",2024-10-27,"New Orleans","(mashup with ""Dress"")"
"ME!",2023-11-20,"Rio de Janeiro",NA
"It's Nice To Have A Friend",2024-06-09,"Edinburgh","(mashup with ""dorothea"")"
"Daylight",2023-06-24,"Minneapolis",NA
"Daylight",2024-02-18,"Melbourne","(mashup with ""Come Back...Be Here"")"
"Daylight",2024-06-07,"Edinburgh","(mashup with ""tis the damn season"")"
"Daylight",2024-10-18,"Miami","(mashup with ""this is me trying"")"
"All Of The Girls You Loved Before",2023-07-29,"Santa Clara",NA
"All Of The Girls You Loved Before",2024-06-08,"Edinburgh","(mashup with ""Crazier"")"
"the 1",2024-07-13,"Milan","(mashup with ""Wonderland"")"
"the last great american dynasty",2024-07-24,"Hamburg","(mashup with ""Run"")"
"the last great american dynasty",2024-11-22,"Toronto","(mashup with ""Ours"")"
"exile",2023-08-07,"Los Angeles",NA
"exile",2024-02-25,"Sydney","(mashup with ""Haunted"")"
"exile",2024-06-09,"Edinburgh","(mashup with ""Haunted"")"
"exile",2024-08-03,"Warsaw","(mashup with ""The Black Dog"")"
"exile",2024-11-01,"Indianapolis","(mashup with ""Cold As You"")"
"mirrorball",2023-03-17,"Glendale",NA
"mirrorball",2024-03-09,"Singapore","(mashup with ""epiphany"")"
"mirrorball",2024-08-01,"Warsaw","(mashup with ""Clara Bow"")"
"mirrorball",2024-10-20,"Miami","(mashup with ""Guilty as Sin?"")"
"seven",2023-06-17,"Pittsburgh",NA
"august",2024-02-17,"Melbourne","(mashup with ""Getaway Car"" and ""The Other Side Of The Door"")"
"this is me trying",2023-03-18,"Glendale",NA
"this is me trying",2024-02-17,"Melbourne",NA
"this is me trying",2024-07-18,"Gelsenkirchen","(mashup with ""Labyrinth"")"
"this is me trying",2024-10-18,"Miami","(mashup with ""Daylight"")"
"invisible string",2024-07-17,"Gelsenkirchen","(mashup with ""Superstar"")"
"mad woman",2023-04-15,"Tampa",NA
"mad woman",2024-11-22,"Toronto","(mashup with ""Cassandra"" and ""I Did Something Bad"")"
"epiphany",2024-03-09,"Singapore","(mashup with ""mirrorball"")"
"peace",2024-02-24,"Sydney","(mashup with ""New Year's Day"")"
"hoax",2024-06-28,"Dublin","(mashup with ""Sweet Nothing"")"
"the lakes",2023-06-02,"Chicago",NA
"the lakes",2024-06-18,"Cardiff","(mashup with ""I Hate It Here"")"
"gold rush",2023-05-12,"Philadelphia",NA
"gold rush",2024-03-08,"Singapore","(mashup with ""Sparks Fly"")"
"gold rush",2024-06-14,"Liverpool","(mashup with ""This Is What You Came For"")"
"'tis the damn season",2024-06-07,"Edinburgh","(mashup with ""Daylight"")"
"'tis the damn season",2024-11-14,"Toronto","(mashup with ""False God"")"
"no body, no crime",2024-06-15,"Liverpool","(mashup with ""Carolina"")"
"happiness",2024-07-23,"Hamburg","(mashup with ""We Were Happy"")"
"dorothea",2023-07-08,"Kansas City",NA
"dorothea",2024-06-09,"Edinburgh","(mashup with ""It's Nice To Have A Friend"")"
"coney island",2023-04-28,"Atlanta",NA
"coney island",2024-02-23,"Sydney","(mashup with ""White Horse"")"
"coney island",2024-08-17,"London","(mashup with ""My Boy Only Breaks His Favorite Toys"")"
"ivy",2023-07-01,"Cincinnati",NA
"ivy",2024-02-26,"Sydney","(mashup with ""Would've, Could've, Should've"")"
"ivy",2024-07-27,"Munich","(mashup with ""Call It What You Want"")"
"cowboy like me",2023-03-25,"Las Vegas",NA
"cowboy like me",2024-03-09,"Singapore","(mashup with ""Tim McGraw"")"
"cowboy like me",2024-07-05,"Amsterdam","(mashup with ""You Are In Love"")"
"cowboy like me",2024-11-02,"Indianapolis","(mashup with ""Maroon"")"
"long story short",2024-03-03,"Singapore","(mashup with ""The Story Of Us"")"
"long story short",2024-06-02,"Lyon","(mashup with ""The Prophecy"")"
"long story short",2024-11-16,"Toronto","(mashup with ""You're On Your Own, Kid"")"
"closure",2024-07-10,"Zurich","(mashup with ""A Perfectly Good Heart"")"
"evermore",2023-06-30,"Cincinnati",NA
"evermore",2024-03-03,"Singapore","(mashup with ""Clean"")"
"evermore",2024-11-15,"Toronto","(mashup with ""Peter"")"
"right where you left me",2023-07-28,"Santa Clara",NA
"right where you left me",2024-07-09,"Zurich","(mashup with ""All You Had To Do Was Stay"")"
"it's time to go",2023-11-26,"São Paulo",NA
"it's time to go",2024-07-19,"Gelsenkirchen","(mashup with ""Better Man"")"
"Maroon",2023-05-26,"East Rutherford",NA
"Maroon",2023-08-03,"Los Angeles",NA
"Maroon",2023-08-27,"Mexico City",NA
"Maroon",2024-02-26,"Sydney","(mashup with ""Forever & Always"")"
"Maroon",2024-05-11,"Paris",NA
"Maroon",2024-06-13,"Liverpool","(mashup with ""Cornelia Street"")"
"Maroon",2024-06-21,"London","(mashup with ""The Black Dog"" and ""Come Back...Be Here"")"
"Maroon",2024-08-02,"Warsaw","(mashup with ""Red"")"
"Maroon",2024-11-02,"Indianapolis","(mashup with ""cowboy like me"")"
"Maroon",2024-12-08,"Vancouver","(mashup with ""The Tortured Poets Department"")"
"Snow On The Beach",2023-03-24,"Las Vegas",NA
"Snow On The Beach",2023-08-25,"Mexico City",NA
"Snow On The Beach",2024-05-29,"Madrid","(mashup with ""I Look in People's Windows"")"
"You're On Your Own, Kid",2023-04-14,"Tampa",NA
"You're On Your Own, Kid",2023-08-05,"Los Angeles",NA
"You're On Your Own, Kid",2023-08-26,"Mexico City",NA
"You're On Your Own, Kid",2024-02-10,"Tokyo",NA
"You're On Your Own, Kid",2024-03-07,"Singapore","(mashup with ""Fifteen"")"
"You're On Your Own, Kid",2024-05-25,"Lisbon","(mashup with ""Long Live"")"
"You're On Your Own, Kid",2024-06-02,"Lyon","(mashup with ""Fifteen"")"
"You're On Your Own, Kid",2024-06-28,"Dublin","(mashup with ""State Of Grace"")"
"You're On Your Own, Kid",2024-06-30,"Dublin",NA
"You're On Your Own, Kid",2024-08-19,"London","(mashup with ""The Archer"")"
"You're On Your Own, Kid",2024-11-16,"Toronto","(mashup with ""long story short"")"
"Question...?",2023-05-20,"Foxborough",NA
"Question...?",2024-07-04,"Amsterdam","(mashup with ""The Archer"")"
"Labyrinth",2023-11-09,"Buenos Aires",NA
"Labyrinth",2024-07-18,"Gelsenkirchen","(mashup with “this is me trying”)"
"Labyrinth",2024-11-21,"Toronto","(mashup with ""State Of Grace"")"
"Sweet Nothing",2023-08-24,"Mexico City",NA
"Sweet Nothing",2024-06-28,"Dublin","(mashup with ""hoax"")"
"Hits Different",2023-06-04,"Chicago",NA
"Hits Different",2020-06-21,"London","(mashup with ""Death By A Thousand Cuts"")"
"Hits Different",2024-10-26,"New Orleans","(mashup with ""Welcome To New York"")"
"The Great War",2023-04-14,"Tampa",NA
"The Great War",2024-06-14,"Liverpool","(mashup with ""You're Losing Me"")"
"The Great War",2024-11-03,"Indianapolis","(mashup with ""Death By A Thousand Cuts"")"
"Bigger Than The Whole Sky",2023-11-19,"Rio de Janeiro",NA
"Paris",2024-05-09,"Paris",NA
"Paris",2024-05-12,"Paris","(mashup with ""Begin Again"")"
"High Infidelity",2023-04-29,"Atlanta",NA
"High Infidelity",2024-05-24,"Lisbon","(mashup with ""Fresh Out The Slammer"")"
"Glitch",2024-06-03,"Lyon","(mashup with ""Everything Has Changed"")"
"Would've, Could've, Should've",2023-05-07,"Nashville",NA
"Would've, Could've, Should've",2024-02-26,"Sydney","(mashup with ""ivy"")"
"Would've, Could've, Should've",2024-06-07,"Edinburgh","(mashup with ""I Know Places"")"
"Dear Reader",2024-02-07,"Tokyo",NA
"Dear Reader",2024-07-24,"Hamburg","(mashup with ""Nothing New"")"
"You're Losing Me",2024-02-16,"Melbourne",NA
"You're Losing Me",2024-06-14,"Liverpool","(mashup with ""The Great War"")"
"You're Losing Me",2024-11-23,"Toronto","(mashup with ""How Did It End?"")"
"The Tortured Poets Department",2024-05-25,"Lisbon","(mashup with ""Now That We Don't Talk"")"
"The Tortured Poets Department",2024-12-08,"Vancouver","(mashup with ""Maroon"")"
"My Boy Only Breaks His Favorite Toys",2024-05-10,"Paris",NA
"My Boy Only Breaks His Favorite Toys",2024-08-17,"London","(mashup with ""coney island"")"
"My Boy Only Breaks His Favorite Toys",2024-11-14,"Toronto","(mashup with ""This Is Why We Can't Have Nice Things"")"
"So Long, London",2024-08-20,"London",NA
"Fresh Out The Slammer",2024-05-24,"Lisbon","(mashup with ""High Infidelity"")"
"Fresh Out The Slammer",2024-07-27,"Munich","(mashup with ""You Are In Love"")"
"Guilty as Sin?",2024-05-18,"Stockholm",NA
"Guilty as Sin?",2024-07-04,"Amsterdam","(mashup with ""Untouchable"")"
"Guilty as Sin?",2024-10-20,"Miami","(mashup with ""mirrorball"")"
